operacao;tempo
criacao;0.0000970
criacao;0.0001170
criacao;0.0001180
criacao;0.0001230
criacao;0.0001110
criacao;0.0000940
criacao;0.0000880
criacao;0.0000850
criacao;0.0000920
criacao;0.0000940
leitura;0.0006830
leitura;0.0005860
leitura;0.0006730
leitura;0.0005090
leitura;0.0006340
leitura;0.0006020
leitura;0.0006150
leitura;0.0004860
leitura;0.0004840
leitura;0.0004730
remocao;0.0001050
remocao;0.0001170
remocao;0.0001200
remocao;0.0001070
remocao;0.0001160
remocao;0.0001120
remocao;0.0000870
remocao;0.0000890
remocao;0.0001250
remocao;0.0001090
