operacao;tempo
criacao;0.0000280
criacao;0.0000180
criacao;0.0000180
criacao;0.0000190
criacao;0.0000180
criacao;0.0000180
criacao;0.0000170
criacao;0.0000160
criacao;0.0000180
criacao;0.0000180
leitura;0.0406010
leitura;0.0480330
leitura;0.0379160
leitura;0.0377520
leitura;0.0377000
leitura;0.0376260
leitura;0.0375690
leitura;0.0376840
leitura;0.0375300
leitura;0.0374750
remocao;0.0056050
remocao;0.0050460
remocao;0.0048700
remocao;0.0047950
remocao;0.0049520
remocao;0.0049520
remocao;0.0048210
remocao;0.0048610
remocao;0.0049650
remocao;0.0047430
