operacao;tempo
criacao;0.0020360
criacao;0.0017880
criacao;0.0014910
criacao;0.0018540
criacao;0.0015930
criacao;0.0015330
criacao;0.0015000
criacao;0.0013730
criacao;0.0009890
criacao;0.0011430
leitura;0.0004000
leitura;0.0003910
leitura;0.0003630
leitura;0.0003560
leitura;0.0003550
leitura;0.0003630
leitura;0.0003190
leitura;0.0003170
leitura;0.0003150
leitura;0.0003020
remocao;0.0002950
remocao;0.0003150
remocao;0.0003080
remocao;0.0003000
remocao;0.0003090
remocao;0.0003090
remocao;0.0003060
remocao;0.0003060
remocao;0.0003120
remocao;0.0003040
