operacao;tempo
criacao;0.0001680
criacao;0.0001410
criacao;0.0001230
criacao;0.0001210
criacao;0.0001310
criacao;0.0001160
criacao;0.0001240
criacao;0.0001310
criacao;0.0001350
criacao;0.0001750
leitura;0.0000610
leitura;0.0000470
leitura;0.0000430
leitura;0.0000390
leitura;0.0000380
leitura;0.0000400
leitura;0.0000400
leitura;0.0000400
leitura;0.0000410
leitura;0.0000420
remocao;0.0000830
remocao;0.0000480
remocao;0.0000540
remocao;0.0000450
remocao;0.0000470
remocao;0.0000430
remocao;0.0000510
remocao;0.0000440
remocao;0.0000480
remocao;0.0000450
