operacao;tempo
criacao;0.0002190
criacao;0.0001080
criacao;0.0001080
criacao;0.0001240
criacao;0.0001530
criacao;0.0001280
criacao;0.0001300
criacao;0.0001250
criacao;0.0001140
criacao;0.0001110
leitura;0.0000640
leitura;0.0000400
leitura;0.0000540
leitura;0.0000390
leitura;0.0000340
leitura;0.0000350
leitura;0.0000250
leitura;0.0000240
leitura;0.0000240
leitura;0.0000250
remocao;0.0000830
remocao;0.0000570
remocao;0.0000520
remocao;0.0000480
remocao;0.0000480
remocao;0.0000470
remocao;0.0000470
remocao;0.0000480
remocao;0.0000460
remocao;0.0000470
