operacao;tempo
criacao;0.3301360
criacao;0.3349370
criacao;0.3291740
criacao;0.5779230
criacao;1.3207540
criacao;1.5023440
criacao;1.5236310
criacao;1.5499420
criacao;1.5598370
criacao;1.5266280
leitura;0.1447530
leitura;0.1371770
leitura;0.1366590
leitura;0.1365080
leitura;0.1365850
leitura;0.1356800
leitura;0.1365530
leitura;0.1366370
leitura;0.1358560
leitura;0.1358240
remocao;0.1137160
remocao;0.1174830
remocao;0.1165320
remocao;0.1169590
remocao;0.1171440
remocao;0.1182100
remocao;0.1203050
remocao;0.1262870
remocao;0.1236250
remocao;0.1201360
