operacao;tempo
criacao;0.0676910
criacao;0.0698150
criacao;0.0713260
criacao;0.0667500
criacao;0.0721800
criacao;0.0662220
criacao;0.0682560
criacao;0.0662500
criacao;0.0672890
criacao;0.0659420
leitura;0.0284710
leitura;0.0289940
leitura;0.0275860
leitura;0.0272920
leitura;0.0273010
leitura;0.0274590
leitura;0.0272190
leitura;0.0271970
leitura;0.0271860
leitura;0.0273790
remocao;0.0248880
remocao;0.0243900
remocao;0.0243170
remocao;0.0242490
remocao;0.0275970
remocao;0.0240300
remocao;0.0241760
remocao;0.0243910
remocao;0.0239900
remocao;0.0261690
