operacao;tempo
criacao;0.0002880
criacao;0.0004340
criacao;0.0003900
criacao;0.0002470
criacao;0.0004960
criacao;0.0005230
criacao;0.0005480
criacao;0.0003740
criacao;0.0003590
criacao;0.0003420
leitura;0.0002330
leitura;0.0002270
leitura;0.0002110
leitura;0.0002460
leitura;0.0001990
leitura;0.0001930
leitura;0.0001390
leitura;0.0001460
leitura;0.0001350
leitura;0.0001360
remocao;0.0000990
remocao;0.0000940
remocao;0.0000830
remocao;0.0000830
remocao;0.0000840
remocao;0.0000820
remocao;0.0000820
remocao;0.0000800
remocao;0.0000800
remocao;0.0000810
