operacao;tempo
criacao;0.0000660
criacao;0.0000640
criacao;0.0000630
criacao;0.0000820
criacao;0.0000720
criacao;0.0000940
criacao;0.0000840
criacao;0.0001060
criacao;0.0000570
criacao;0.0000580
leitura;0.0051220
leitura;0.0046120
leitura;0.0044720
leitura;0.0045000
leitura;0.0046750
leitura;0.0045980
leitura;0.0044520
leitura;0.0043680
leitura;0.0038060
leitura;0.0038410
remocao;0.0006550
remocao;0.0006240
remocao;0.0006070
remocao;0.0006460
remocao;0.0006110
remocao;0.0005840
remocao;0.0005290
remocao;0.0005300
remocao;0.0005910
remocao;0.0005480
