operacao;tempo
criacao;0.0000410
criacao;0.0000310
criacao;0.0000300
criacao;0.0000300
criacao;0.0000310
criacao;0.0000370
criacao;0.0000290
criacao;0.0000270
criacao;0.0000270
criacao;0.0000290
leitura;0.0008190
leitura;0.0008330
leitura;0.0008690
leitura;0.0008610
leitura;0.0008220
leitura;0.0008530
leitura;0.0008330
leitura;0.0008510
leitura;0.0008460
leitura;0.0008280
remocao;0.0001630
remocao;0.0001560
remocao;0.0001610
remocao;0.0001610
remocao;0.0001670
remocao;0.0001600
remocao;0.0001620
remocao;0.0001560
remocao;0.0001530
remocao;0.0001480
