operacao;tempo
criacao;0.0000150
criacao;0.0000120
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000130
criacao;0.0000150
criacao;0.0000160
criacao;0.0000300
criacao;0.0000160
criacao;0.0000160
criacao;0.0000180
criacao;0.0000170
criacao;0.0000180
criacao;0.0000160
criacao;0.0000110
criacao;0.0000140
criacao;0.0000160
criacao;0.0000160
criacao;0.0000170
criacao;0.0000170
criacao;0.0000190
criacao;0.0000170
criacao;0.0000160
criacao;0.0000170
criacao;0.0000180
criacao;0.0000210
criacao;0.0000190
criacao;0.0000180
criacao;0.0000170
criacao;0.0000140
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000180
criacao;0.0000170
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000120
criacao;0.0000120
criacao;0.0000120
criacao;0.0000120
criacao;0.0000120
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
leitura;0.0000520
leitura;0.0000440
leitura;0.0000430
leitura;0.0000440
leitura;0.0000440
leitura;0.0000430
leitura;0.0000430
leitura;0.0000430
leitura;0.0000470
leitura;0.0000440
leitura;0.0000480
leitura;0.0000430
leitura;0.0000440
leitura;0.0000480
leitura;0.0000430
leitura;0.0000560
leitura;0.0000450
leitura;0.0000430
leitura;0.0000480
leitura;0.0000430
leitura;0.0000590
leitura;0.0000430
leitura;0.0000420
leitura;0.0000450
leitura;0.0000420
leitura;0.0000470
leitura;0.0000420
leitura;0.0000430
leitura;0.0000470
leitura;0.0000410
leitura;0.0000460
leitura;0.0000420
leitura;0.0000410
leitura;0.0000470
leitura;0.0000420
leitura;0.0000450
leitura;0.0000430
leitura;0.0000420
leitura;0.0000460
leitura;0.0000430
leitura;0.0000470
leitura;0.0000420
leitura;0.0000540
leitura;0.0000460
leitura;0.0000400
leitura;0.0000450
leitura;0.0000410
leitura;0.0000400
leitura;0.0000450
leitura;0.0000410
leitura;0.0000450
leitura;0.0000410
leitura;0.0000410
leitura;0.0000440
leitura;0.0000410
leitura;0.0000410
leitura;0.0000440
leitura;0.0000410
leitura;0.0000450
leitura;0.0000410
leitura;0.0000410
leitura;0.0000460
leitura;0.0000400
leitura;0.0000450
leitura;0.0000400
leitura;0.0000390
leitura;0.0000440
leitura;0.0000410
leitura;0.0000440
leitura;0.0000400
leitura;0.0000400
leitura;0.0000440
leitura;0.0000410
leitura;0.0000450
leitura;0.0000390
leitura;0.0000400
leitura;0.0000440
leitura;0.0000400
leitura;0.0000450
leitura;0.0000570
leitura;0.0000420
leitura;0.0000440
leitura;0.0000400
leitura;0.0000440
leitura;0.0000460
leitura;0.0000400
leitura;0.0000450
leitura;0.0000410
leitura;0.0000460
leitura;0.0000400
leitura;0.0000410
leitura;0.0000460
leitura;0.0000400
leitura;0.0000440
leitura;0.0000410
leitura;0.0000400
leitura;0.0000450
leitura;0.0000420
leitura;0.0000440
leitura;0.0000410
remocao;0.0000310
remocao;0.0000130
remocao;0.0000120
remocao;0.0000110
remocao;0.0000110
remocao;0.0000110
remocao;0.0000110
remocao;0.0000100
remocao;0.0000110
remocao;0.0000110
remocao;0.0000160
remocao;0.0000110
remocao;0.0000100
remocao;0.0000150
remocao;0.0000110
remocao;0.0000130
remocao;0.0000100
remocao;0.0000100
remocao;0.0000140
remocao;0.0000100
remocao;0.0000140
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000100
remocao;0.0000140
remocao;0.0000110
remocao;0.0000140
remocao;0.0000110
remocao;0.0000100
remocao;0.0000130
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000140
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000140
remocao;0.0000110
remocao;0.0000110
remocao;0.0000130
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000100
remocao;0.0000140
remocao;0.0000110
remocao;0.0000130
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000140
remocao;0.0000110
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000100
remocao;0.0000140
remocao;0.0000100
remocao;0.0000130
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000110
remocao;0.0000130
remocao;0.0000110
remocao;0.0000140
remocao;0.0000100
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000140
remocao;0.0000100
remocao;0.0000140
remocao;0.0000110
remocao;0.0000110
remocao;0.0000140
remocao;0.0000110
remocao;0.0000130
remocao;0.0000100
remocao;0.0000100
remocao;0.0000130
remocao;0.0000100
remocao;0.0000120
remocao;0.0000100
remocao;0.0000100
remocao;0.0000130
remocao;0.0000110
